Wall time,Step,Value
1710360411.856937,30720,-22.76158332824707
1710360759.1588423,61440,-18.122821807861328
1710361108.1195097,92160,-15.72049331665039
1710361460.7959807,122880,-14.151046752929688
1710361776.5617945,153600,-13.235857009887695
1710362050.862126,184320,-12.187871932983398
1710362328.9317355,215040,-11.426880836486816
1710362601.012785,245760,-10.8167085647583
1710362874.6381626,276480,-10.235309600830078
1710363150.358823,307200,-8.890680313110352
1710363415.835621,337920,-7.690723896026611
1710363573.691815,368640,-6.980757713317871
1710363707.1623542,399360,-6.412339210510254
1710363814.3662906,430080,-5.917587757110596
1710363920.8789878,460800,-5.554187774658203
1710364031.3029664,491520,-5.145198345184326
1710364137.8631208,522240,-4.905766010284424
1710364245.75607,552960,-4.634087562561035
1710364371.6922328,583680,-4.4741082191467285
1710364484.8199131,614400,-4.260603427886963
1710364587.5836902,645120,-4.055855751037598
1710364693.2276025,675840,-3.9087233543395996
1710364797.3997188,706560,-3.718874931335449
1710364908.9336107,737280,-3.5732457637786865
1710365015.7558386,768000,-3.506380558013916
1710365118.1765358,798720,-3.4046437740325928
1710365219.939796,829440,-3.2586159706115723
1710365324.096082,860160,-3.140695333480835
1710365430.7283962,890880,-3.042095422744751
1710365535.062414,921600,-3.0040197372436523
1710365656.0230799,952320,-2.8727049827575684
1710365764.3175035,983040,-2.7804806232452393
1710365876.4205494,1013760,-2.72004771232605
1710365997.267094,1044480,-2.6641502380371094
1710366122.9528172,1075200,-2.574368715286255
1710366226.2853103,1105920,-2.522747039794922
1710366328.9121428,1136640,-2.4448962211608887
1710366433.1278236,1167360,-2.410909652709961
1710366568.5360243,1198080,-2.3493165969848633
